time	gasCreateMean(2)	gasCreateStd(3)	gasTotalMean(4)	gasTotalStd(5)	createMean(6)	createStd(7)	totKitty(8)	avgKitty(9)	minKitty(10)	maxKitty(11)	stdKitty(12)
3720	0.0	0.0	0.0	0.0	0.2	0.4000000000000001	1	0.2	0	1	0.4000000000000001
3780	0.0	0.0	0.0	0.0	0.2	0.4000000000000001	1	0.2	0	1	0.4000000000000001
3840	0.0	0.0	0.0	0.0	0.2	0.4000000000000001	1	0.2	0	1	0.4000000000000001
3900	0.0	0.0	0.0	0.0	0.2	0.4000000000000001	1	0.2	0	1	0.4000000000000001
3960	9.2	18.4	9.2	18.4	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
4020	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
4080	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
4140	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
4200	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
4260	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
4320	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
4380	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
4440	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
4500	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
4560	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
4620	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
4680	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
4740	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
4800	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
4860	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
4920	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
4980	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
5040	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
5100	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
5160	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
5220	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
5280	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
5340	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
5400	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
5460	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
5520	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
5580	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
5640	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
5700	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
5760	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
5820	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
5880	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
5940	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
6000	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
6060	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
6120	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
6180	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
6240	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
6300	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
6360	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
6420	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
6480	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
6540	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
6600	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
6660	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
6720	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
6780	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
6840	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
6900	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
6960	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
7020	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
7080	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
7140	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
7200	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
7260	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
7320	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
7380	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
7440	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
7500	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
7560	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
7620	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
7680	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
7740	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
7800	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
7860	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
7920	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
7980	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
8040	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
8100	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
8160	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
8220	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
8280	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
8340	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
8400	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
8460	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
8520	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
8580	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
8640	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
8700	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
8760	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
8820	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
8880	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
8940	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
9000	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
9060	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
9120	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
9180	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
9240	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
9300	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
9360	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
9420	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
9480	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
9540	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
9600	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
9660	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
9720	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
9780	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
9840	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
9900	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
9960	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
10020	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
10080	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
10140	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
10200	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
10260	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
10320	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
10380	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
10440	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
10500	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
10560	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
10620	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
10680	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
10740	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
10800	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
10860	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
10920	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
10980	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
11040	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
11100	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
11160	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
11220	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
11280	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
11340	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
11400	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
11460	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
11520	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
11580	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
11640	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
11700	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
11760	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
11820	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
11880	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
11940	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
12000	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
12060	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
12120	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
12180	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
12240	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
12300	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
12360	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
12420	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
12480	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
12540	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
12600	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
12660	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
12720	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
12780	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
12840	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
12900	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
12960	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
13020	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
13080	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
13140	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
13200	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
13260	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
13320	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
13380	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
13440	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
13500	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
13560	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
13620	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
13680	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
13740	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
13800	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
13860	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
13920	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
13980	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
14040	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
14100	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
14160	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
14220	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
14280	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
14340	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
14400	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
14460	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
14520	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
14580	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
14640	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
14700	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
14760	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
14820	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
14880	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
14940	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
15000	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
15060	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
15120	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
15180	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
15240	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
15300	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
15360	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
15420	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
15480	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
15540	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
15600	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
15660	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
15720	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
15780	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
15840	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
15900	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
15960	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
16020	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
16080	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
16140	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
16200	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
16260	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
16320	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
16380	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
16440	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
16500	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
16560	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
16620	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
16680	0.0	0.0	0.0	0.0	0.4	0.48989794855663565	2	0.4	0	1	0.48989794855663565
